BARCODE,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability,Retail($),Cost($),Dest (Y/N),RETAIL YEAR
7001190,,ELLIS TABLE LAMP W/ SHADE,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
7001195,,BERLING DOULE SCONCE,Lighting,,,,,,,0,0.0,0.0,Y,
7001196,,GRANT LARGE SCONCE  PN,Lighting,,,,,,,0,0.0,0.0,Y,
7001197,,SWING ARM TABLE LAMP NB,Lighting,,,,42559260,,,0,1217.75,258.1175,Y,2011.0
7001200,,MODERN SMALL LANTERN,Lighting,,,,43600584,,,0,1519.0,286.38,Y,2020.0
7001201,,DALEY DESK LAMP  NB,Lighting,,,,42184739,,,0,1699.0,536.98,Y,2024.0
7001204,,VARICK TABLE LAMP,Lighting,,,,42559641,,,0,1389.0,322.98,Y,2014.0
7001205,,DAWES SCONCE PN,Lighting,,,,,,,0,0.0,0.0,Y,
7001207,,RL 67' SWING ARM WALL LAMP,Lighting,,,,42559351,,,Sellable,769.0,187.5,Y,2010.0
7001209,,BARRET BUFFET LAMP NB,Lighting,,,,52515353,,,0,0.0,0.0,Y,
7001227,,DALEY FLOOR LAMP NB,Lighting,,,,42521989,,,0,2879.0,655.1777777777778,Y,2018.0
7001228,,ANNETTE FLOOR LAMP PN,Lighting,,,,42485250,,,0,879.0,281.74,Y,2019.0
7001242,,SILK BOX PLEAT SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7001322,,BROOK STREET CLUB CHAIR,Furniture,,polo,Display,7686657,,,Sellable,0.0,0.0,Y,
7001324,,LAWSON ARM CHAIR,Furniture,,polo,Display,42554196,,,Sellable,6090.0,1522.5,,2019.0
7001373,,BARRETT KNURLED BUFFET LAMP,Lighting,,,,52515353,,,0,0.0,0.0,Y,
7001559,,ROBERSTON CHANDELIER,Lighting,,,,41086695,,,0,3600.0,564.78,Y,2018.0
7001693,,RIVINGTON MEDIUM 8-PANEL CHANDELIER,Lighting,,,,44261501,,,0,5529.0,1037.58,Y,2016.0
7001711,,JAMAICA QUEEN BED SR/SLATES,Furniture,,polo,Display,,,,Sellable,0.0,0.0,,
7001712,,JAMAICA QUEEN BED FB,Furniture,,polo,Display,43614791,,,Sellable,7950.0,1668.75,,2020.0
7001713,,JAMAICA QUEEN BED HB,Furniture,,polo,Display,,,,Sellable,1000000.0,0.0,,
7001721,,ALLEYN DINING TABLE,Furniture,,Polo,Display,42448423,,,Sellable,16485.0,4121.25,,2019.0
7001747,,PRYCE SOFA (STEEL FEET),Furniture,,polo,Display,44075307,,,Sellable,10157.0,2006.25,,2020.0
7001749,,CF1 LOUNGE CHAIR,Furniture,,polo,Display,16642563,,,Sellable,16500.0,4940.0,,2006.0
7001749,,LOUNGE CHAIR,Furniture,,polo,Display,44881852,,,Sellable,10610.0,2040.0,Y,2020.0
7001762,,IRVING LOUNGE CHAIR,Furniture,,polo,Display,74710062,,,Sellable,6585.0,1742.25,,2024.0
7001763,,PRYCE NIGHT STAND,Furniture,,,Display,,,,0,0.0,0.0,,
7001764,,PRYCE NIGHT STAND,Furniture,,,Display,,,,0,0.0,0.0,,
7001766,,PARKER QUEEN BED HB,Furniture,,polo,Display,,,,Sellable,0.0,0.0,,
7001767,,PARKER QUEEN BED FB,Furniture,,polo,Display,4403594,,,Sellable,0.0,0.0,,
7001768,,PARKER QUEEN BED SR,Furniture,,polo,Display,,,,Sellable,0.0,0.0,,
7001779,,DUKE NIGHTSTAND,Furniture,,polo,Display,76312289,,,0,20395.0,4851.0,Y,2024.0
7001784,,FLORENCE OTTOMAN,Furniture,,polo,Display,45261112,,,0,5873.0,1949.25,,2020.0
7001785,,FAIRFIELD PHARMACY LAMP,Lighting,,,Display,42522060,,,0,1039.0,228.5257894736842,Y,2011.0
7001787,,BARRETT LARGE CHANDELIER,Lighting,,,Display,45387008,,,0,1429.0,259.98,Y,2020.0
7001789,,"ANNETTE 16"" PICTURE LIGHT",Lighting,,,Display,42485219,,,0,745.0,223.21333333333334,Y,2019.0
7001790,,PERREN MIDIUM WALL SCONCE IN PN,Lighting,,,Display,43839745,,,0,1629.0,352.802,Y,2020.0
7001791,,PERREN MEDIUM WALL SCONCE IN PN,Lighting,,,Display,43839745,,,0,1629.0,352.802,Y,2020.0
7001792,,"LANGLEY 32"" PICTURE LIGHT IN PN",Lighting,,,Display,44008233,,,0,1389.0,298.1353846153846,Y,2024.0
7001793,,"LANGLEY 32"" PICTURE LIGHT IN PN",Lighting,,,Display,44008233,,,0,1389.0,298.1353846153846,Y,2024.0
7001794,,"LANGLEY 32"" PICTURE LIGHT IN PN",Lighting,,,Display,44008233,,,0,1389.0,298.1353846153846,Y,2024.0
7001795,,"LANGLEY 24"" PICTURE LIGHT IN PN",Lighting,,,Display,44008217,,,0,1279.0,266.47499999999997,Y,2024.0
