Receiving Report #,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability, Retail($) ,Cost($),,Dest (Y/N),RETAIL YEAR
006292854,,ROUND SHADE ROOM CH,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316643,,ROUND SILK SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007003126,,LANGHAM DESK TOP,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
006316601,,ROUND WHITE PAPER CLOSED TOP SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316669,,ROUND WHITE PAPER CLOSED TOP SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316596,,ROUND WHITE PAPER SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316642,,ROUND WHITE PAPER SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316152,,SABLE SMALL CHANDELIER CRYSTAL/POLISHED NICKEL,Lighting,,,,44244515,,,0," $3,185 ", $602 ,, Y ,2021
006311510,,SCONCE PLUS TWO METAL SHADES-RL2252PN,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006313482,,SHADE / HOLIDAY,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006313483,,SHADE / HOLIDAY,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007003249,,LARGE DINING TABLE,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007003257,,LARGE DINING TABLE BASES,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
006309527,,LAUREL COCKTAIL TABLE / WAXED MAHOGANY / RL39520-40,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007001324,,LAWSON ARM CHAIR,Furniture,,polo,Display,42554196,,,Sellable," $6,090 "," $1,523 ",,,2019
006313991,,LAWSON UPHOLSTERED CHAIR / RLU39500-27,Furniture,,polo,Display,74544933,,,Sellable," $5,675 "," $1,154 ",,,2024
007000427,,LAWSON UPHOLSTERED CHAIR / RLU39500-27,Furniture,,polo,Display,7454493,,,Sellable, $-   , $-   ,, Y ,#N/A
006316597,,LEAF FOR DUKE DINING TABLE,Furniture,,,Display,,,,0, $-   , $-   ,, Y ,#N/A
007003234,,LONDON CLUB CHAIR,Furniture,,polo,Display,74693474,,,Sellable," $9,245 "," $2,444 ",,,2024
007001749,,LOUNGE CHAIR,Furniture,,polo,Display,44881852,,,Sellable," $10,610 "," $2,040 ",, Y ,2020
007002859,,MAYFAIR CENTER  TABLE,Furniture,,polo,Display,42448241,,,Sellable, $-   , $-   ,, Y ,2019
007003136,,MAYFAIR CENTER TABLE BASE,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007003137,,MAYFAIR CENTER TABLE TOP,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
006309612,,MAYFAIR DINING ARM CHAIR / RLU30000-27,Furniture,,polo,Display,40353708,,,Sellable," $5,160 "," $1,290 ",, Y ,2018
006316635,,MAYFAIR OCCASIONAL CHAIR,Furniture,,polo,Display,43614940,,,Sellable," $4,659 "," $1,193 ",,,2020
007000167,,MAYFAIR OCCASIONAL CHAIR,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007002083,,MAYFAIR OCCASIONAL CHAIR,Furniture,,polo,Display,43614940,,,Sellable," $4,659 "," $1,193 ",,,2020
007002944,,MAYFAIR SIDE TABLE,Furniture,,polo,Display,43652544,,,Sellable, $-   , $-   ,, Y ,2020
006313484,,SHADE / HOLIDAY,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006313485,,SHADE / HOLIDAY,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002888,,MAYFAIR TUFTED CHAIR,Furniture,,polo,Display,41042318,,,0," $8,710 "," $1,830 ",,,2018
007002946,,MAYFAIR TUFTED CHAIR,Furniture,,polo,Display,74544867,,,Sellable," $8,415 "," $1,860 ",,,2024
007002997,,MAYFAIR TUFTED CHAIR,Furniture,,polo,Display,74544867,,,Sellable," $8,415 "," $1,860 ",, Y ,2024
006309541,,SHADE FOR CAGAN SMALL TABLE LAMP IN CLEAR CARVED GLASS/3921CCG-P,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006309592,,SHADE FOR DARIEN FLOOR LAMP IN NB,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316718,,SHADE FOR GARDNER TABLE LAMP,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316716,,SHADE FOR GARNER TABLE LAMP,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006309563,,SHADE FOR HALIFAX TABLE LAMP IN BLACK CERAMIC W/ FAUX DRUM SKIN SHADE/3633BLK-DS,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002621,,SHADE FOR ISLA SMALL TABLE LAMP,Lighting,,,Display,,,,Sellable, $-   , $-   ,, Y ,#N/A
007002863,,MAYFAIR TUFTED QUEEN BED FB,Furniture,,polo,Display,46157725,,,Sellable, $-   , $-   ,,,#N/A
007002862,,MAYFAIR TUFTED QUEEN BED HB,Furniture,,polo,Display,,,,Sellable, $-   , $-   ,,,#N/A
007002864,,MAYFAIR TUFTED QUEEN BED HF,Furniture,,polo,Display,,,,Sellable, $-   , $-   ,,,#N/A
007003273,,MODERN DRUM END TABLE,Furniture,,polo,Display,43652049,,,Sellable," $5,550 "," $1,221 ",,,2020
007001918,,MODERN HOLLYWOOD BENCH,Furniture,,polo,Display,44512291,,,Sellable," $5,550 "," $1,229 ",,,2020
007002964,,MODERN HOLLYWOOD NIGHTSTAND,Furniture,,polo,Display,44512291,,,Sellable," $5,550 "," $1,229 ",,,2020
007002545,,MODERN HOLLYWOOD OTTOMAN,Furniture,,polo,Display,45863057,,,Sellable," $3,535 ", $687 ,, Y ,2024
007002861,,MODERN HOLLYWOOD OTTOMAN,Furniture,,polo,Display,77225332,,,Sellable," $6,077 "," $1,988 ",,,2024
007003170,,MODERN HOLLYWOOD OTTOMANS,Furniture,,polo,Display,,,,Sellable, $-   , $-   ,,,#N/A
007003069,,MODERN METRO RIGHT NIGHTSTAND,Furniture,,polo,Display,77699916,,,Sellable, $-   , $-   ,,,#N/A
006317902,,MODERN METROPOLIS BEDSIDE CHEST,Furniture,,polo,Display,43652056,,,Sellable," $10,195 "," $1,608 ",, Y ,2020
007003071,,MOORE WOOD TABLE TOP ONLY,Furniture,,polo,Display,74548900,,,Sellable," $13,050 "," $3,128 ",,,2024
006295898,,Mordern Hollywood Ottoman RA11474 - NORRIS/SCHAPE,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007002639,,NEW BOHEMIAN ARTIST CHAIR,Furniture,,polo,Display,75090522,,,Sellable," $9,013 "," $2,963 ",,,2024
007003205,,NEW BOHEMIAN COCKTAIL TABLE,Furniture,,polo,Display,43615095,,,Sellable," $4,095 "," $1,361 ",,,2020
007001431,,NOBLE ESTATE BEDSIDE TABLE,Furniture,,polo,Display,43652072,,,Sellable," $5,200 "," $1,713 ",,,2020
007003168,,NOBLE ESTATE DINNING CHAIR,Furniture,,polo,Display,45000114,,,Sellable," $2,895 ", $911 ,,,2020
007003169,,NOBLE ESTATE DINNING CHAIR,Furniture,,polo,Display,45261351,,,Sellable," $4,164 "," $1,219 ",,,2020
006309535,,SHADE FOR ISLA SMALL TABLE LAMP IN WHITE LEATHER CERAMIC/3622WLC-L,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316600,,SHADE FOR RL15808PS,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002332,,SHADE FOR RL39,Lighting,,,Display,,,,0, $-   , $-   ,, Y ,#N/A
007001169,,SHADE FOR RL3965,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007001242,,SILK BOX PLEAT SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006311512,,SINGLE AYMELINE-RL2105BS-S,Lighting,,,,42556415,,,0, $809 , $182 ,, Y ,2011
006310188,,SQUARE CLOSED TOP PERCAL TO RL3966PN/Q-P,Lighting,,,,,,,0,0,0,, Y ,#N/A
006314389,,SQUARE PERCALE SHADE,Lighting,,,,,,,0,0,0,, Y ,#N/A
007001197,,SWING ARM TABLE LAMP NB,Lighting,,,,42559260,,,0," $1,218 ", $258 ,, Y ,2011
007002983,,SYDNEE GOURD LAMP,Lighting,,,Display,44007987,,,0," $1,279 ", $285 ,, Y ,2024
006310359,,UPPER FIFTH TABLE LAMP IN BROWN CROC LEATHER/RL3470BRN-S,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006306759,,UPTON LARGE LANTERN IN BRONZE/RL5156BZ,Lighting,,,,42559617,,,0," $2,189 ", $470 ,, Y ,2024
006316617,,UPTON LARGE SCONCE,Lighting,,,,42559633,,,0, $929 , $154 ,, Y ,2012
006320878,,UPTON LARGE SCONCE,Lighting,,,,42559633,,,0, $929 , $154 ,, Y ,2012
006314966,,UPTON SCONCE,Lighting,,,,43600527,,,0, $725 , $136 ,, Y ,2020
007002636,,ONE FIFTH OTTOMAN,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007003195,,ONE FIFTH OTTOMAN,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007002611,,ONE FIFTH WALL MIRROR,Furniture,,polo,Display,44044287,,,Sellable," $9,595 "," $3,066 ",,,2020
007003275,,PARKER DINNING ARMCHAIR,Furniture,,polo,Display, ,,,Sellable, $-   , $-   ,,,#N/A
007001767,,PARKER QUEEN BED FB,Furniture,,polo,Display,4403594,,,Sellable, $-   , $-   ,,,#N/A
